,attempt,epoch,loss,lr
0,0,0,3.870636298640529,0.001
0,0,1,2.952077172346742,0.001
0,0,2,2.4905861386260115,0.001
0,0,3,2.1788020230833345,0.001
0,0,4,1.9476788543038128,0.001
0,0,5,1.76750328835529,0.001
0,0,6,1.6224094248085046,0.001
0,0,7,1.5028381910197783,0.001
0,0,8,1.4025763240474465,0.001
0,0,9,1.3173596277894173,0.001
0,0,10,1.2441211930209861,0.001
0,0,11,1.180594701103183,0.001
0,0,12,1.125065921285026,0.001
0,0,13,1.076200810440575,0.001
0,0,14,1.0329460244420128,0.001
0,0,15,0.9944581927708384,0.001
0,0,16,0.9600524637331977,0.001
0,0,17,0.9291654972540812,0.001
0,0,18,0.9013328310687361,0.001
0,0,19,0.8761649802277514,0.001
0,1,0,3.2018259114642436,0.001
0,1,1,2.440832235188977,0.001
0,1,2,2.076007336250704,0.001
0,1,3,1.8351700003417115,0.001
0,1,4,1.6589950660282067,0.001
0,1,5,1.5226018850658347,0.001
0,1,6,1.413038590529444,0.001
0,1,7,1.3226893307236596,0.001
0,1,8,1.2467016641084887,0.001
0,1,9,1.1818115071624018,0.001
0,1,10,1.1257146849242918,0.001
0,1,11,1.0767298808317052,0.001
0,1,12,1.033599009439301,0.001
0,1,13,0.9953558961667406,0.001
0,1,14,0.9612404571439814,0.001
0,1,15,0.9306452814374254,0.001
0,1,16,0.903081751114151,0.001
0,1,17,0.8781473488077529,0.001
0,1,18,0.8555105071579129,0.001
0,1,19,0.8348931663213873,0.001
0,2,0,2.979129214673559,0.001
0,2,1,2.205132415772804,0.001
0,2,2,1.8478678496462106,0.001
0,2,3,1.6186787716572302,0.001
0,2,4,1.455430120388114,0.001
0,2,5,1.332197077000329,0.001
0,2,6,1.2355595949130895,0.001
0,2,7,1.1576475561980812,0.001
0,2,8,1.0934861706309194,0.001
0,2,9,1.0397600687207988,0.001
0,2,10,0.9941444655298685,0.001
0,2,11,0.9549526873858066,0.001
0,2,12,0.9209389865791343,0.001
0,2,13,0.8911608412258111,0.001
0,2,14,0.864893098053428,0.001
0,2,15,0.8415576308324234,0.001
0,2,16,0.8206995097489316,0.001
0,2,17,0.8019537140969966,0.001
0,2,18,0.7850205170483259,0.001
0,2,19,0.7696556075702692,0.001
0,3,0,4.641582565718541,0.001
0,3,1,3.613894247563657,0.001
0,3,2,3.1013243147702925,0.001
0,3,3,2.7548348998276233,0.001
0,3,4,2.4967489734182053,0.001
0,3,5,2.2939607448163337,0.001
0,3,6,2.129013483041312,0.001
0,3,7,1.9914930177715016,0.001
0,3,8,1.874694989977864,0.001
0,3,9,1.7740377301908987,0.001
0,3,10,1.6862596976508766,0.001
0,3,11,1.6089610197424982,0.001
0,3,12,1.5403227074923833,0.001
0,3,13,1.4789397102019761,0.001
0,3,14,1.423702080011868,0.001
0,3,15,1.3737275483492846,0.001
0,3,16,1.3282960568498325,0.001
0,3,17,1.2868158285082727,0.001
0,3,18,1.2487964945183274,0.001
0,3,19,1.213824887474227,0.001
0,4,0,4.5452298406340415,0.001
0,4,1,3.614015172040792,0.001
0,4,2,3.141339544136695,0.001
0,4,3,2.8162043418071825,0.001
0,4,4,2.570115506195563,0.001
0,4,5,2.373959756436705,0.001
0,4,6,2.2122946057386548,0.001
0,4,7,2.075874996509383,0.001
0,4,8,1.9586897054633159,0.001
0,4,9,1.8566340459989064,0.001
0,4,10,1.7667572501516688,0.001
0,4,11,1.6868754102030568,0.001
0,4,12,1.6153286030026694,0.001
0,4,13,1.5508287111804064,0.001
0,4,14,1.4923489668040335,0.001
0,4,15,1.4390641486567834,0.001
0,4,16,1.3903015057982586,0.001
0,4,17,1.3455029542387333,0.001
0,4,18,1.3042019237933296,0.001
0,4,19,1.2660086410386422,0.001
0,5,0,3.655382141713047,0.001
0,5,1,2.7672686557498696,0.001
0,5,2,2.33825428949427,0.001
0,5,3,2.052924522686535,0.001
0,5,4,1.8432723082460862,0.001
0,5,5,1.6806654207806437,0.001
0,5,6,1.5500599858109534,0.001
0,5,7,1.4425393206394617,0.001
0,5,8,1.3523523968263818,0.001
0,5,9,1.2755879882421461,0.001
0,5,10,1.2094671537519432,0.001
0,5,11,1.1519481315976638,0.001
0,5,12,1.1014921003964864,0.001
0,5,13,1.0569123307671964,0.001
0,5,14,1.0172762774357809,0.001
0,5,15,0.9818405264808143,0.001
0,5,16,0.9500047436869324,0.001
0,5,17,0.9212787124576951,0.001
0,5,18,0.8952567726915143,0.001
0,5,19,0.8716013071751251,0.001
0,6,0,3.2267719513286477,0.001
0,6,1,2.392246327138416,0.001
0,6,2,1.9973848884795569,0.001
0,6,3,1.7400210691538234,0.001
0,6,4,1.5544443788523803,0.001
0,6,5,1.4129996626986403,0.001
0,6,6,1.3012444531116623,0.001
0,6,7,1.2106640892220657,0.001
0,6,8,1.1358142675490264,0.001
0,6,9,1.073018513023185,0.001
0,6,10,1.0196832531828242,0.001
0,6,11,0.9739132645791508,0.001
0,6,12,0.9342877176296501,0.001
0,6,13,0.8997174227515603,0.001
0,6,14,0.8693559787480905,0.001
0,6,15,0.8425335948677004,0.001
0,6,16,0.8187122935705763,0.001
0,6,17,0.7974537324859201,0.001
0,6,18,0.7783989969895398,0.001
0,6,19,0.7612519929771624,0.001
0,7,0,2.6252657870478386,0.001
0,7,1,1.8922355956233419,0.001
0,7,2,1.5799768275292294,0.001
0,7,3,1.3878221613578092,0.001
0,7,4,1.2542930177263691,0.001
0,7,5,1.1549902296298546,0.001
0,7,6,1.077815716307637,0.001
0,7,7,1.0159097958513525,0.001
0,7,8,0.9650628817480705,0.001
0,7,9,0.9225188079251943,0.001
0,7,10,0.8863936286889681,0.001
0,7,11,0.8553433074878204,0.001
0,7,12,0.8283843521995611,0.001
0,7,13,0.804773797908938,0.001
0,7,14,0.7839426225682324,0.001
0,7,15,0.7654441661605726,0.001
0,7,16,0.7489238855528275,0.001
0,7,17,0.7340967067747428,0.001
0,7,18,0.720728335592795,0.001
0,7,19,0.7086263850927708,0.001
0,8,0,3.7740363533494077,0.001
0,8,1,2.9472770155403056,0.001
0,8,2,2.5335855445237536,0.001
0,8,3,2.252744726385209,0.001
0,8,4,2.0430801357292685,0.001
0,8,5,1.8782370489939457,0.001
0,8,6,1.7442529663347532,0.001
0,8,7,1.6327492115581101,0.001
0,8,8,1.5382951696368832,0.001
0,8,9,1.4571609935466214,0.001
0,8,10,1.3866717384821445,0.001
0,8,11,1.324845517183471,0.001
0,8,12,1.270182775010373,0.001
0,8,13,1.2215182309802324,0.001
0,8,14,1.1779262516439464,0.001
0,8,15,1.1386648043418377,0.001
0,8,16,1.103132250810914,0.001
0,8,17,1.0708344679569886,0.001
0,8,18,1.0413595915268348,0.001
0,8,19,1.0143634114969782,0.001
0,9,0,4.069004643136057,0.001
0,9,1,3.0856906475483554,0.001
0,9,2,2.6182058094602536,0.001
