,attempt,epoch,loss,lr
0,0,0,1.0065980361576516,0.001
0,0,1,0.522965130107545,0.001
0,0,2,0.522972946226298,0.001
0,0,3,0.5229481012394114,0.001
0,0,4,0.522869907056865,0.001
0,0,5,0.5229846523431754,0.001
0,0,6,0.5228839261313405,0.001
0,0,7,0.5229487050356575,0.001
0,0,8,0.5229568728998144,0.001
0,0,9,0.5229563461083535,0.001
0,0,10,0.522891321206236,0.001
0,0,11,0.5229278948645444,0.001
0,0,12,0.5229466907710733,0.001
0,0,13,0.5228922372406728,0.001
0,0,14,0.5228919859368514,0.001
0,0,15,0.5229292766210027,0.001
0,0,16,0.5229391788395876,0.001
0,0,17,0.5229969093767637,0.001
0,0,18,0.5229250243675542,0.001
0,0,19,0.5229120074832918,0.001
0,1,0,1.0677551962730902,0.001
0,1,1,0.522931879314365,0.001
0,1,2,0.5229014623502725,0.001
0,1,3,0.5229578250921536,0.001
0,1,4,0.5229051169858521,0.001
0,1,5,0.5229338667356259,0.001
0,1,6,0.5228879652706858,0.001
0,1,7,0.5228199149050168,0.001
0,1,8,0.5229058368974956,0.001
0,1,9,0.5229311954688038,0.001
0,1,10,0.5228923872632042,0.001
0,1,11,0.5228230616374099,0.001
0,1,12,0.5229150024585072,0.001
0,1,13,0.5229154339830715,0.001
0,1,14,0.5228603005012348,0.001
0,1,15,0.5229324046468014,0.001
0,1,16,0.5229577944985235,0.001
0,1,17,0.5228687208765239,0.001
0,1,18,0.5229085154484902,0.001
0,1,19,0.5229137258029546,0.001
0,2,0,1.0420737299530283,0.001
0,2,1,0.5229265922609481,0.001
0,2,2,0.5229168945590618,0.001
0,2,3,0.522943771392965,0.001
0,2,4,0.5229628133086811,0.001
0,2,5,0.522927894297794,0.001
0,2,6,0.5229945029179256,0.001
0,2,7,0.5229574479193662,0.001
0,2,8,0.5229762220149469,0.001
0,2,9,0.5229164142376118,0.001
0,2,10,0.5229610257167933,0.001
0,2,11,0.5229591135377826,0.001
0,2,12,0.5229327873134585,0.001
0,2,13,0.5229166938963477,0.001
0,2,14,0.5229609440250512,0.001
0,2,15,0.5229585001605901,0.001
0,2,16,0.5228805417584235,0.001
0,2,17,0.5229170771808326,0.001
0,2,18,0.5229727750981162,0.001
0,2,19,0.5229886427106596,0.001
0,3,0,0.960578684765286,0.001
0,3,1,0.5228444577945881,0.001
0,3,2,0.5229467076748543,0.001
0,3,3,0.5229854282061128,0.001
0,3,4,0.5229298552063703,0.001
0,3,5,0.5229414151657421,0.001
0,3,6,0.52298496950117,0.001
0,3,7,0.5229927697933578,0.001
0,3,8,0.522880809245542,0.001
0,3,9,0.5229419579210243,0.001
0,3,10,0.5229551421549296,0.001
0,3,11,0.5229676781785578,0.001
0,3,12,0.522873217628776,0.001
0,3,13,0.5229445756429449,0.001
0,3,14,0.5229546602838172,0.001
0,3,15,0.5229177741695051,0.001
0,3,16,0.5229981951043767,0.001
0,3,17,0.5228617666389739,0.001
0,3,18,0.5229863329416411,0.001
0,3,19,0.5228980595006051,0.001
0,4,0,1.0837016949648017,0.001
0,4,1,0.5229440822462526,0.001
0,4,2,0.5229247154882372,0.001
0,4,3,0.5229763070456255,0.001
0,4,4,0.5229765332078189,0.001
0,4,5,0.5229119677846233,0.001
0,4,6,0.5229598588163714,0.001
0,4,7,0.5229465510672079,0.001
0,4,8,0.5228845814229547,0.001
0,4,9,0.522969228397833,0.001
0,4,10,0.5229845304576669,0.001
0,4,11,0.5229687414237051,0.001
0,4,12,0.5229704184158432,0.001
0,4,13,0.5229746568126545,0.001
0,4,14,0.5229575848148922,0.001
0,4,15,0.5229083077815981,0.001
0,4,16,0.5229223780162586,0.001
0,4,17,0.5229266975302498,0.001
0,4,18,0.5229388689510619,0.001
0,4,19,0.5229654666093494,0.001
0,5,0,1.0736259031018995,0.001
0,5,1,0.5229469428126426,0.001
0,5,2,0.5229499992525724,0.001
0,5,3,0.5229248448543475,0.001
0,5,4,0.5228853420914067,0.001
0,5,5,0.5229312600786241,0.001
0,5,6,0.5229515513696135,0.001
0,5,7,0.5229203231732662,0.001
0,5,8,0.522947653507475,0.001
0,5,9,0.5228623196006648,0.001
0,5,10,0.522945680784027,0.001
0,5,11,0.5229558749663572,0.001
0,5,12,0.5229224566622058,0.001
0,5,13,0.5229661749357517,0.001
0,5,14,0.5230008863028217,0.001
0,5,15,0.5229580181300121,0.001
0,5,16,0.5228492785202177,0.001
0,5,17,0.5229054047789662,0.001
0,5,18,0.5228874005786631,0.001
0,5,19,0.5228790715097693,0.001
0,6,0,0.9698172764736465,0.001
0,6,1,0.522947063517472,0.001
0,6,2,0.5229208627789577,0.001
0,6,3,0.5229549655057893,0.001
0,6,4,0.5229827266506436,0.001
0,6,5,0.5229410502387108,0.001
0,6,6,0.5228952085769641,0.001
0,6,7,0.5229336868034951,0.001
0,6,8,0.5229283098777472,0.001
0,6,9,0.5230116046528077,0.001
0,6,10,0.522892408552783,0.001
0,6,11,0.5229957477542972,0.001
0,6,12,0.5229499619141926,0.001
0,6,13,0.5229296674185422,0.001
0,6,14,0.522900282784513,0.001
0,6,15,0.5229363794706514,0.001
0,6,16,0.522837424872973,0.001
0,6,17,0.5229384182630613,0.001
0,6,18,0.5229862583751559,0.001
0,6,19,0.5229190913977031,0.001
0,7,0,1.1215526349511376,0.001
0,7,1,0.5229518372969382,0.001
0,7,2,0.5229664369797288,0.001
0,7,3,0.5229375311820821,0.001
0,7,4,0.5229076659933646,0.001
0,7,5,0.5229592885401985,0.001
0,7,6,0.5228845847919955,0.001
0,7,7,0.5229451609300092,0.001
0,7,8,0.5229078390007144,0.001
0,7,9,0.5229091838408227,0.001
0,7,10,0.5229184766398101,0.001
0,7,11,0.5229090981379134,0.001
0,7,12,0.5228600645204692,0.001
0,7,13,0.5229229693019555,0.001
0,7,14,0.522941821670897,0.001
0,7,15,0.5229533398447408,0.001
0,7,16,0.522940821979155,0.001
0,7,17,0.5228696608075932,0.001
0,7,18,0.5229899008137787,0.001
0,7,19,0.5228885300880723,0.001
0,8,0,0.8642224241701078,0.001
0,8,1,0.5229840636917216,0.001
0,8,2,0.5229233213275151,0.001
0,8,3,0.522897474316868,0.001
0,8,4,0.5228248410665776,0.001
0,8,5,0.5229418247134994,0.001
0,8,6,0.5229332081309395,0.001
0,8,7,0.5229202548327702,0.001
0,8,8,0.522937968865173,0.001
0,8,9,0.5229672526926531,0.001
0,8,10,0.5229337918384604,0.001
0,8,11,0.5230070232726306,0.001
0,8,12,0.5229837935242764,0.001
0,8,13,0.5229718079889395,0.001
0,8,14,0.5228598879546955,0.001
0,8,15,0.5229854532897904,0.001
0,8,16,0.5229647689442358,0.001
0,8,17,0.5229496359513786,0.001
0,8,18,0.5228749372429402,0.001
0,8,19,0.5228897316299239,0.001
0,9,0,0.9416166231998409,0.001
0,9,1,0.5229767596421061,0.001
0,9,2,0.5228917380424831,0.001
0,9,3,0.5229203566963733,0.001
0,9,4,0.5229963962309803,0.001
0,9,5,0.5229317108076084,0.001
0,9,6,0.5228551234576162,0.001
0,9,7,0.5229303412795366,0.001
0,9,8,0.522971688436792,0.001
0,9,9,0.5229248695913878,0.001
0,9,10,0.5228571826615984,0.001
0,9,11,0.5230187623321757,0.001
0,9,12,0.5228505230762297,0.001
0,9,13,0.5229677347860329,0.001
0,9,14,0.5229092771998416,0.001
0,9,15,0.5229212497574951,0.001
0,9,16,0.5229763369838742,0.001
0,9,17,0.5229641868637228,0.001
0,9,18,0.5229043466683827,0.001
0,9,19,0.5229391613879409,0.001
0,10,0,0.8909858283785971,0.001
0,10,1,0.52298776938734,0.001
0,10,2,0.5229131378028513,0.001
0,10,3,0.52298501571662,0.001
0,10,4,0.5229054729113064,0.001
0,10,5,0.5229657412978752,0.001
0,10,6,0.5229618838048168,0.001
0,10,7,0.5229150391461442,0.001
0,10,8,0.5229570293797062,0.001
0,10,9,0.5230057564500344,0.001
0,10,10,0.52296366786293,0.001
0,10,11,0.5229710305725638,0.001
0,10,12,0.522900758163412,0.001
0,10,13,0.5228541440741595,0.001
0,10,14,0.5229426147450449,0.001
0,10,15,0.5229068660256775,0.001
